Municipality,PROJECT_ID,AREA,RAINFALL,LAKEPERC,MORAIPERC,RIVERPERC,CLAYPERC,GRAVELPERC,PEATPERC,ROCKPERC,FORESTPERC,HEATSUM,FARMEDPERC,FIELDPERC,INCOME,nay100ha,TAXES,pop1945,HeightRANGE,HeightMEAN,HtMEDIAN,CentroidE,CentroidN
Ahlainen,1,18475,537.665,3.38,64.4,17,19.71,4.9,3.61,4.25,65.003,1149.36,8.2,10.637,12.46,183,99.76,3288,47,23.32798165,24,21.65692061,61.68028517
Alahärmä,2,25990,543.933,0.27,38.45,19.65,32.88,11.29,8.51,8.87,64.997,1106.04,33.2,31.886,8.65,54,80.91,5186,54,49.28156566,49,22.80726321,63.26769842
Aitolahti,3,14082,637.209,29.74,22.26,15.85,16.39,1.06,7.29,24.44,75.076,1207.68,23.6,32.525,27.95,43,191.1,704,62,121.2647059,123,23.89244157,61.56832566
Alajärvi,4,76967,503.818,4.55,52.02,13.21,11,5.82,21.51,5.41,70.275,1057.79,10,11.821,8.99,73,104.23,8628,149,142.3062563,139,23.91550568,63.01876099
Akaa,5,13130,552.422,9.05,39.25,13.76,23.56,9.42,17.46,1.26,75.277,1200.74,30.1,36.293,40.08,52,283.78,4953,82,106.3486239,104,23.84500101,61.13928756
Angelniemi,7,6497,635.677,0,30.99,0,38.71,0.01,0,30.29,65.05,1340.6,26.9,20.538,23.36,801,195.98,987,72,27.96296296,29,22.92586354,60.28133787
Anjala,8,14890,594.636,1.28,30.55,7.93,39.43,7.2,3.2,12.05,65.107,1268.13,22.8,22.154,25.9,91,153.56,4116,62,35.97740113,36,26.722151,60.70934633
Antrea,9,68722,626.791,23.6,49.52,0,3.68,23.56,2.49,6.56,68.43,1249.22,10.6,11.946,21.59,99,131.76,8772,79,26.33115468,26,29.12210899,60.89886795
Anttola,10,23655,549.151,39.39,23.36,4.1,0.32,1.22,0,36.07,74.727,1212.3,8.4,7.191,15,155,103.97,3055,78,92.53481013,89,27.68387626,61.59968171
Artjärvi,11,17900,598.782,11.34,17.29,13.35,46.68,1.86,1.55,21.26,65.247,1243.15,24.4,24.701,18.98,86,129.53,2691,71,63.42765957,64,26.06856669,60.76229722
Asikkala,12,54463,553.337,29.95,26.81,6.93,13.23,15.86,4.11,10.53,69.533,1200.81,12.9,12.151,15.2,157,98.58,7957,120,109.838674,106,25.58369423,61.21250682
Askainen,13,5683,608.815,0.71,0,0,43.5,2.98,1.48,52.04,65.021,1350.38,28.4,37.179,14.92,101,112.83,916,46,17.96774194,18,21.80682539,60.53173387
Askola,14,20528,602.497,2.79,29.01,16.66,39.97,3.23,1.46,24.24,60.409,1250.29,25.5,25.792,25.77,75,141.44,3237,60,41.47378641,41,25.6092413,60.54380421
Alastaro,15,27393,607.227,0.02,14.94,22.45,50.82,13.25,9.25,11.75,56.813,1196.19,27.4,27.869,16.47,70,127.65,4836,71,88.12324493,86,22.81508313,60.97340585
Alatornio,16,86747,547.99,0.62,52,13.14,2.27,7.13,33.04,4.43,85.168,940.37,1.8,1.954,18.08,332,176.04,9096,168,69.17205882,61,24.32831465,66.06238163
Aura,17,6767,631.118,0,8.81,26.46,62.12,0.76,1.42,26.9,63.092,1243.95,40,28.202,25.18,671,151.16,1994,45,62.17535545,62,22.55166437,60.63492167
Alaveteli,18,15890,522.088,5.4,54.25,25.45,11.39,5.1,26.17,0,64.873,1051.57,10,10.819,16.27,132,80.96,1884,68,43.71685761,45,23.47305027,63.69745998
Alavieska,19,26600,501.59,0.18,39.85,23.62,22.07,0.41,14.18,23.49,65.004,1044.05,6.4,11.062,7.77,180,69.13,3824,42,55.92647059,55,24.33436905,64.18107352
Alavus,20,84591,554.018,8.93,42.9,16.01,11.2,1.03,25.76,11.43,68.811,1087.36,9.4,11.915,9.98,91,74.07,10523,79,135.6545628,135,23.50473706,62.56048711
Elimäki,21,36951,589.685,0.65,26.6,19.14,55.06,7.85,1.38,7.4,65.306,1259.31,26.1,23.53,26.76,74,119.17,7594,112,43.9055666,42,26.51526712,60.74158947
Eno,22,91574,556.571,14.7,56.1,14.85,0.81,12.74,6.12,7.42,84.449,1069.71,2.3,2.324,13.1,215,122.51,9293,182,135.9129623,133,30.26725999,62.82663297
Enonkoski,23,10519,565.31,38.33,48.59,4.91,0,2.3,0,12.3,83.725,1202.88,11.6,7.04,15.42,191,119.46,3202,102,99.73072747,101,28.89010749,62.1118179
